Hotel Name,City,Check-in,Check-out,Adults per Room,Rooms,Nuitee Price (MAD),Booking Price (MAD),Price Difference (MAD),match_status,verified,Booking URL
Hotel La Luna,Beni-Mellal,2026-05-01,2026-05-02,[2],1,466.00,544.0,78.0,OK,true,https://www.booking.com/searchresults.html?ss=Hotel%20La%20Luna%20Beni-Mellal&checkin=2026-05-01&checkout=2026-05-02&selected_currency=MAD&lang=en-us&group_adults=2&no_rooms=1&dest_type=hotel&nflt=ht_id%3D204&chal_t=1776212487021&force_referer=
"HOTEL CAFE PALAIS SALAM , Beni Mellal",Beni-Mellal,2026-05-01,2026-05-02,[2],1,511.00,539.0,28.0,OK,true,https://www.booking.com/searchresults.html?ss=HOTEL%20CAFE%20PALAIS%20SALAM%20%2C%20Beni%20Mellal%20Beni-Mellal&checkin=2026-05-01&checkout=2026-05-02&selected_currency=MAD&lang=en-us&group_adults=2&no_rooms=1&dest_type=hotel&nflt=ht_id%3D204&chal_t=1776212490787&force_referer=
VELSATIS,Beni-Mellal,2026-05-01,2026-05-02,[2],1,393.00,MATCH_FAIL,N/A,MATCH_FAIL,false,https://www.booking.com/searchresults.html?ss=Beni+Mellal&ssne=Beni+Mellal&ssne_untouched=Beni+Mellal
Appart Hotel Golden Sky Home,Beni-Mellal,2026-05-01,2026-05-02,[2],1,1068.00,911.0,-157.0,OK,true,https://www.booking.com/searchresults.html?ss=Appart%20Hotel%20Golden%20Sky%20Home%20Beni-Mellal&checkin=2026-05-01&checkout=2026-05-02&selected_currency=MAD&lang=en-us&group_adults=2&no_rooms=1&dest_type=hotel&nflt=ht_id%3D204&chal_t=1776212502728&force_referer=
Hotel Al Bassatine,Beni-Mellal,2026-05-01,2026-05-02,[2],1,831.00,MATCH_FAIL,N/A,MATCH_FAIL,false,https://www.booking.com/searchresults.html?ss=Hotel+SunSet+Beni+Mellal&ssne=Hotel+SunSet+Beni+Mellal&ssne_untouched=Hotel+SunSet+Beni+Mellal
Welcome Home,Beni-Mellal,2026-05-01,2026-05-02,[2],1,437.00,499.0,62.0,OK,true,https://www.booking.com/searchresults.html?ss=Welcome%20Home%20Beni-Mellal&checkin=2026-05-01&checkout=2026-05-02&selected_currency=MAD&lang=en-us&group_adults=2&no_rooms=1&dest_type=hotel&nflt=ht_id%3D204&chal_t=1776212514314&force_referer=
Hotel Achokre,Beni-Mellal,2026-05-01,2026-05-02,[2],1,371.00,392.0,21.0,OK,true,https://www.booking.com/searchresults.html?ss=Hotel%20Achokre%20Beni-Mellal&checkin=2026-05-01&checkout=2026-05-02&selected_currency=MAD&lang=en-us&group_adults=2&no_rooms=1&dest_type=hotel&nflt=ht_id%3D204&chal_t=1776212517601&force_referer=
Appartement Ain Asserdoun,Beni-Mellal,2026-05-01,2026-05-02,[2],1,286.00,207.00,-79.0,NO_RESULTS,false,https://www.booking.com/searchresults.html?ss=Appartement+Ain+Asserdoun&ssne=Appartement+Ain+Asserdoun&ssne_untouched=Appartement+Ain+Asserdoun&chal_t=1776213167670&force_referer=
Beni mellal,Beni-Mellal,2026-05-01,2026-05-02,[2],1,335.00,MATCH_FAIL,N/A,MATCH_FAIL,false,https://www.booking.com/searchresults.html?ss=Beni+Mellal&ssne=Beni+Mellal&ssne_untouched=Beni+Mellal
Appartement à beni mellal,Beni-Mellal,2026-05-01,2026-05-02,[2],1,656.00,653.00,-3.0,NO_RESULTS,false,https://www.booking.com/searchresults.html?ss=Appartement+%C3%A0+beni+mellal&ssne=Appartement+%C3%A0+beni+mellal&ssne_untouched=Appartement+%C3%A0+beni+mellal&chal_t=1776213170887&force_referer=
Villa SKYVIEW,Beni-Mellal,2026-05-01,2026-05-02,[2],1,1607.00,MATCH_FAIL,N/A,MATCH_FAIL,false,https://www.booking.com/searchresults.html?ss=SkyView+Villa&ssne=SkyView+Villa&ssne_untouched=SkyView+Villa
iliy House,Beni-Mellal,2026-05-01,2026-05-02,[2],1,4328.00,4113.00,-215.0,NO_RESULTS,false,https://www.booking.com/searchresults.html?ss=iliy+House&ssne=iliy+House&ssne_untouched=iliy+House&chal_t=1776213171818&force_referer=
